r,y,TotalDiscountedCost
"Region1",2018,83841.5837086492
"Region1",2019,83510.6155431853
"Region1",2020,80500.9373644192
"Region1",2021,79306.7743940604
"Region1",2022,77583.3892932177
"Region1",2023,72340.393387647
"Region1",2024,67323.6068019148
"Region1",2025,58464.1869515521
"Region1",2026,55020.5615707703
"Region1",2027,52489.906176397
"Region1",2028,47675.311567621
"Region1",2029,45240.9841072577
"Region1",2030,41934.1687836985
"Region1",2031,39390.6156331457
"Region1",2032,37467.4633474495
"Region1",2033,35574.4019262861
"Region1",2034,33607.5528414406
"Region1",2035,31676.4595782617
